area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
6073,0,10,70,0,2016,A,,105786,1405808,81815784606,9755659990,450066048,1119,58198,,1,1,1,1,1,1,1,,2918,2.8,35136,2.6,2222404443,2.8,334386080,3.5,-8486190,-1.9,2,0.2,129,0.2
6073,1,10,71,0,2016,A,,251,46803,3848058480,0,0,1581,82218,,0.38,1.69,1.63,0,0,0.97,0.97,,0,0,851,1.9,79445708,2.1,0,0,0,0,4,0.3,205,0.2
6073,1,102,72,0,2016,A,,251,46803,3848058480,0,0,1581,82218,,0.38,1.72,1.66,0,0,0.97,0.97,,0,0,851,1.9,79445708,2.1,0,0,0,0,4,0.3,205,0.2
6073,1,1021,73,0,2016,A,,112,7565,393685859,0,0,1001,52038,,0.34,1.12,0.9,0,0,0.81,0.81,,1,0.9,42,0.6,-8288117,-2.1,0,0,0,0,-26,-2.5,-1392,-2.6
6073,1,1022,73,0,2016,A,,1,1,95291,0,0,1833,95291,,0.73,0.02,0.02,0,0,1.17,1.17,,-1,-50,-1,-50,-77160,-44.7,0,0,0,0,175,10.6,9065,10.5
6073,1,1023,73,0,2016,A,,1,3,392615,0,0,2265,117785,,0.12,0.02,0.02,0,0,0.97,0.97,,0,0,-1,-25,3288,0.8,0,0,0,0,393,21,20453,21
6073,1,1024,73,0,2016,A,,13,2348,200753363,0,0,1645,85515,,0.81,3.66,3.36,0,0,0.92,0.92,,0,0,101,4.5,9265829,4.8,0,0,0,0,6,0.4,280,0.3
6073,1,1025,73,0,2016,A,,6,6906,578451485,0,0,1611,83757,,0.4,1.72,1.75,0,0,1.02,1.02,,0,0,181,2.7,16133890,2.9,0,0,0,0,3,0.2,145,0.2
6073,1,1026,73,0,2016,A,,4,29,1800122,0,0,1187,61718,,0.23,0.06,0.07,0,0,1.25,1.25,,0,0,5,20.8,242625,15.6,0,0,0,0,-40,-3.3,-2070,-3.2
6073,1,1027,73,0,2016,A,,1,22,1201280,0,0,1034,53789,,0.53,0.48,0.46,0,0,0.94,0.94,,0,0,2,10,150028,14.3,0,0,0,0,2,0.2,108,0.2
6073,1,1028,73,0,2016,A,,113,29928,2671678465,0,0,1717,89271,,0.42,1.99,1.86,0,0,0.93,0.93,,0,0,522,1.8,62015325,2.4,0,0,0,0,10,0.6,526,0.6
6073,1,44-45,74,0,2016,A,,33,2117,66012769,0,0,600,31183,,4.43,4.62,4.16,0,0,0.9,0.9,,0,0,-83,-3.8,-506794,-0.8,0,0,0,0,18,3.1,940,3.1
6073,1,445,75,0,2016,A,,5,472,18850909,0,0,767,39903,,2.32,3.88,3.62,0,0,0.93,0.93,,0,0,-18,-3.7,-604210,-3.1,0,0,0,0,4,0.5,232,0.6
6073,1,4451,76,0,2016,A,,5,472,18850909,0,0,767,39903,,2.34,3.89,3.62,0,0,0.93,0.93,,0,0,-18,-3.7,-604210,-3.1,0,0,0,0,4,0.5,232,0.6
6073,1,44511,77,0,2016,A,,5,472,18850909,0,0,767,39903,,2.72,4.14,3.79,0,0,0.91,0.91,,0,0,-18,-3.7,-604210,-3.1,0,0,0,0,4,0.5,232,0.6
6073,1,445110,78,0,2016,A,,5,472,18850909,0,0,767,39903,,2.72,4.14,3.79,0,0,0.91,0.91,,0,0,-18,-3.7,-604210,-3.1,0,0,0,0,4,0.5,232,0.6
6073,1,452,75,0,2016,A,,27,1645,47161860,0,0,552,28679,,8.52,5.04,4.53,0,0,0.9,0.9,,0,0,-64,-3.7,97416,0.2,0,0,0,0,22,4.2,1141,4.1
6073,1,4521,76,0,2016,A,,25,1327,38017285,0,0,551,28647,,10.68,5.98,5.37,0,0,0.9,0.9,,0,0,-41,-3,1496476,4.1,0,0,0,0,38,7.4,1952,7.3
6073,1,45211,77,0,2016,A,,25,1327,38017285,0,0,551,28647,,10.68,5.98,5.37,0,0,0.9,0.9,,0,0,-41,-3,1496476,4.1,0,0,0,0,38,7.4,1952,7.3
6073,1,452111,78,0,2016,A,,24,1325,37967400,0,0,551,28651,,20.8,7.25,6.37,0,0,0.88,0.88,,0,0,-41,-3,1486695,4.1,0,0,0,0,38,7.4,1950,7.3
6073,1,452112,78,0,2016,A,,1,2,49885,0,0,501,26027,,0.84,0.05,0.04,0,0,0.91,0.91,,0,0,0,0,9781,24.4,0,0,0,0,80,19,4152,19
6073,1,4529,76,0,2016,A,,2,317,9144575,0,0,554,28809,,2.42,3.03,2.74,0,0,0.9,0.9,,0,0,-24,-7,-1399060,-13.3,0,0,0,0,-41,-6.9,-2111,-6.8
6073,1,45299,77,0,2016,A,,2,317,9144575,0,0,554,28809,,4.71,8.44,9.95,0,0,1.18,1.18,,0,0,-24,-7,-1399060,-13.3,0,0,0,0,-41,-6.9,-2111,-6.8
6073,1,452990,78,0,2016,A,,2,317,9144575,0,0,554,28809,,4.71,8.44,9.95,0,0,1.18,1.18,,0,0,-24,-7,-1399060,-13.3,0,0,0,0,-41,-6.9,-2111,-6.8
6073,1,454,75,0,2016,A,,1,0,0,0,0,0,0,,18.37,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6073,1,4542,76,0,2016,A,,1,0,0,0,0,0,0,,22.96,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6073,1,45421,77,0,2016,A,,1,0,0,0,0,0,0,,22.96,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6073,1,454210,78,0,2016,A,,1,0,0,0,0,0,0,,22.96,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6073,1,48-49,74,0,2016,A,,79,5448,327673090,0,0,1157,60141,,0.25,0.88,0.81,0,0,0.92,0.92,,1,1.3,124,2.3,-7781323,-2.3,0,0,0,0,-55,-4.5,-2868,-4.6
6073,1,491,75,0,2016,A,,79,5448,327673090,0,0,1157,60141,,0.25,0.9,0.85,0,0,0.94,0.94,,1,1.3,124,2.3,-7781323,-2.3,0,0,0,0,-55,-4.5,-2868,-4.6
6073,1,4911,76,0,2016,A,,79,5448,327673090,0,0,1157,60141,,0.25,0.9,0.85,0,0,0.94,0.94,,1,1.3,124,2.3,-7781323,-2.3,0,0,0,0,-55,-4.5,-2868,-4.6
6073,1,49111,77,0,2016,A,,79,5448,327673090,0,0,1157,60141,,0.25,0.9,0.85,0,0,0.94,0.94,,1,1.3,124,2.3,-7781323,-2.3,0,0,0,0,-55,-4.5,-2868,-4.6
