area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
6073,0,10,70,0,2017,A,,109009,1435108,85964730416,9971341326,437841652,1152,59901,,1,1,1,1,1,1,1,,3223,3,29300,2.1,4148945810,5.1,215681336,2.2,-12224396,-2.7,33,2.9,1703,2.9
6073,1,10,71,0,2017,A,,251,46856,3997118535,0,0,1640,85306,,0.38,1.68,1.64,0,0,0.98,0.98,,0,0,53,0.1,149060055,3.9,0,0,0,0,59,3.7,3088,3.8
6073,1,102,72,0,2017,A,,251,46856,3997118535,0,0,1640,85306,,0.38,1.71,1.67,0,0,0.98,0.98,,0,0,53,0.1,149060055,3.9,0,0,0,0,59,3.7,3088,3.8
6073,1,1021,73,0,2017,A,,113,7464,390712404,0,0,1007,52349,,0.34,1.09,0.88,0,0,0.81,0.81,,1,0.9,-101,-1.3,-2973455,-0.8,0,0,0,0,6,0.6,311,0.6
6073,1,1022,73,0,2017,A,,1,1,105570,0,0,2030,105570,,0.73,0.02,0.02,0,0,1.25,1.25,,0,0,0,0,10279,10.8,0,0,0,0,197,10.7,10279,10.8
6073,1,1023,73,0,2017,A,,1,3,354726,0,0,2274,118242,,0.11,0.02,0.02,0,0,0.96,0.96,,0,0,0,0,-37889,-9.7,0,0,0,0,9,0.4,457,0.4
6073,1,1024,73,0,2017,A,,13,2320,205453337,0,0,1703,88564,,0.8,3.57,3.3,0,0,0.93,0.93,,0,0,-28,-1.2,4699974,2.3,0,0,0,0,58,3.5,3049,3.6
6073,1,1025,73,0,2017,A,,6,6993,624330583,0,0,1717,89275,,0.39,1.71,1.79,0,0,1.05,1.05,,0,0,87,1.3,45879098,7.9,0,0,0,0,106,6.6,5518,6.6
6073,1,1026,73,0,2017,A,,4,27,1696151,0,0,1204,62627,,0.23,0.05,0.07,0,0,1.23,1.23,,0,0,-2,-6.9,-103971,-5.8,0,0,0,0,17,1.4,909,1.5
6073,1,1027,73,0,2017,A,,1,23,1313434,0,0,1090,56695,,0.53,0.5,0.5,0,0,0.98,0.98,,0,0,1,4.5,112154,9.3,0,0,0,0,56,5.4,2906,5.4
