area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
6073,0,10,70,0,2014,A,,99422,1332960,75393332635,9009373143,451297127,1088,56561,,1,1,1,1,1,1,1,,1823,1.9,28640,2.2,3870267984,5.4,342113394,3.9,6730491,1.5,33,3.1,1725,3.1
6073,1,10,71,0,2014,A,,254,45777,3654045820,0,0,1535,79823,,0.39,1.72,1.64,0,0,0.96,0.96,,-3,-1.2,-769,-1.7,124364269,3.5,0,0,0,0,77,5.3,3991,5.3
6073,1,102,72,0,2014,A,,254,45777,3654045820,0,0,1535,79823,,0.39,1.75,1.67,0,0,0.96,0.96,,-3,-1.2,-769,-1.7,124364269,3.5,0,0,0,0,77,5.3,3991,5.3
6073,1,1021,73,0,2014,A,,109,7459,384131766,0,0,990,51501,,0.34,1.15,0.91,0,0,0.8,0.8,,-1,-0.9,18,0.2,7485225,2,0,0,0,0,17,1.7,883,1.7
6073,1,1022,73,0,2014,A,,2,2,175121,0,0,1684,87561,,1.46,0.03,0.03,0,0,1.09,1.09,,0,0,0,0,27908,19,0,0,0,0,66,4.1,3439,4.1
6073,1,1023,73,0,2014,A,,2,4,346470,0,0,1904,98991,,0.24,0.03,0.02,0,0,0.84,0.84,,0,0,1,33.3,-6530,-1.8,0,0,0,0,-359,-15.9,-18676,-15.9
6073,1,1024,73,0,2014,A,,12,2268,190949245,0,0,1619,84190,,0.75,3.56,3.27,0,0,0.92,0.92,,0,0,-164,-6.7,35678,0,0,0,0,0,109,7.2,5673,7.2
6073,1,1025,73,0,2014,A,,7,6600,538449314,0,0,1569,81589,,0.53,1.79,1.84,0,0,1.03,1.03,,0,0,-174,-2.6,8992828,1.7,0,0,0,0,66,4.4,3423,4.4
6073,1,1026,73,0,2014,A,,4,24,1418215,0,0,1140,59298,,0.24,0.05,0.06,0,0,1.26,1.26,,0,0,-1,-4,-413,0,0,0,0,0,60,5.6,3115,5.5
6073,1,1027,73,0,2014,A,,1,21,1093435,0,0,1013,52696,,0.57,0.47,0.42,0,0,0.92,0.92,,0,0,1,5,51870,5,0,0,0,0,-1,-0.1,-41,-0.1
6073,1,1028,73,0,2014,A,,118,29401,2537482254,0,0,1660,86307,,0.44,2.01,1.86,0,0,0.92,0.92,,-1,-0.8,-449,-1.5,107777703,4.4,0,0,0,0,95,6.1,4911,6
6073,1,44-45,74,0,2014,A,,32,2267,66000419,0,0,560,29108,,4.19,4.84,4.26,0,0,0.88,0.88,,-1,-3,3,0.1,2811302,4.4,0,0,0,0,23,4.3,1196,4.3
6073,1,445,75,0,2014,A,,5,495,19060820,0,0,740,38487,,2.32,4.22,3.7,0,0,0.87,0.88,,0,0,-12,-2.4,1842439,10.7,0,0,0,0,87,13.3,4526,13.3
6073,1,4451,76,0,2014,A,,5,495,19060820,0,0,740,38487,,2.34,4.23,3.7,0,0,0.87,0.87,,0,0,-12,-2.4,1842439,10.7,0,0,0,0,87,13.3,4526,13.3
6073,1,44511,77,0,2014,A,,5,495,19060820,0,0,740,38487,,2.74,4.52,3.87,0,0,0.86,0.86,,0,0,-12,-2.4,1842439,10.7,0,0,0,0,87,13.3,4526,13.3
6073,1,445110,78,0,2014,A,,5,495,19060820,0,0,740,38487,,2.74,4.52,3.87,0,0,0.86,0.86,,0,0,-12,-2.4,1842439,10.7,0,0,0,0,87,13.3,4526,13.3
6073,1,452,75,0,2014,A,,26,1772,46939599,0,0,509,26487,,7.95,5.2,4.65,0,0,0.89,0.89,,-1,-3.7,15,0.9,968863,2.1,0,0,0,0,6,1.2,320,1.2
6073,1,4521,76,0,2014,A,,24,1400,36203573,0,0,497,25867,,10.18,6.15,5.36,0,0,0.87,0.87,,-1,-4,29,2.1,1310815,3.8,0,0,0,0,7,1.4,407,1.6
6073,1,45211,77,0,2014,A,,24,1400,36203573,0,0,497,25867,,10.18,6.15,5.36,0,0,0.87,0.87,,-1,-4,29,2.1,1310815,3.8,0,0,0,0,7,1.4,407,1.6
6073,1,452111,78,0,2014,A,,23,1398,36162929,0,0,498,25877,,19.87,7.4,6.35,0,0,0.86,0.86,,-1,-4.2,29,2.1,1312552,3.8,0,0,0,0,8,1.6,411,1.6
6073,1,452112,78,0,2014,A,,1,2,40644,0,0,375,19509,,0.83,0.05,0.04,0,0,0.72,0.72,,0,0,0,0,-1737,-4.1,0,0,0,0,-33,-8.1,-1682,-7.9
6073,1,4529,76,0,2014,A,,2,373,10736026,0,0,554,28815,,2.16,3.3,3.22,0,0,0.97,0.98,,0,0,-13,-3.4,-341952,-3.1,0,0,0,0,3,0.5,140,0.5
6073,1,45299,77,0,2014,A,,2,373,10736026,0,0,554,28815,,4.71,9.42,11.61,0,0,1.23,1.23,,0,0,-13,-3.4,-341952,-3.1,0,0,0,0,3,0.5,140,0.5
6073,1,452990,78,0,2014,A,,2,373,10736026,0,0,554,28815,,4.71,9.42,11.61,0,0,1.23,1.23,,0,0,-13,-3.4,-341952,-3.1,0,0,0,0,3,0.5,140,0.5
6073,1,454,75,0,2014,A,,1,0,0,0,0,0,0,,18.83,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6073,1,4542,76,0,2014,A,,1,0,0,0,0,0,0,,23.54,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6073,1,45421,77,0,2014,A,,1,0,0,0,0,0,0,,23.54,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6073,1,454210,78,0,2014,A,,1,0,0,0,0,0,0,,23.54,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6073,1,48-49,74,0,2014,A,,77,5191,318131347,0,0,1178,61281,,0.25,0.88,0.82,0,0,0.93,0.93,,-1,-1.3,14,0.3,4673923,1.5,0,0,0,0,14,1.2,735,1.2
6073,1,491,75,0,2014,A,,77,5191,318131347,0,0,1178,61281,,0.25,0.9,0.85,0,0,0.95,0.95,,-1,-1.3,14,0.3,4673923,1.5,0,0,0,0,14,1.2,735,1.2
6073,1,4911,76,0,2014,A,,77,5191,318131347,0,0,1178,61281,,0.25,0.9,0.85,0,0,0.95,0.95,,-1,-1.3,14,0.3,4673923,1.5,0,0,0,0,14,1.2,735,1.2
6073,1,49111,77,0,2014,A,,77,5191,318131347,0,0,1178,61281,,0.25,0.9,0.85,0,0,0.95,0.95,,-1,-1.3,14,0.3,4673923,1.5,0,0,0,0,14,1.2,735,1.2
6073,1,491110,78,0,2014,A,,77,5191,318131347,0,0,1178,61281,,0.25,0.9,0.85,0,0,0.95,0.95,,-1,-1.3,14,0.3,4673923,1.5,0,0,0,0,14,1.2,735,1.2
6073,1,51,74,0,2014,A,,2,2,175121,0,0,1684,87561,,1.46,0.03,0.03,0,0,1.09,1.09,,0,0,0,0,27908,19,0,0,0,0,66,4.1,3439,4.1
6073,1,511,75,0,2014,A,,1,1,89704,0,0,1725,89704,,13.45,0.81,0.92,0,0,1.13,1.13,,0,0,0,0,2578,3,0,0,0,0,49,2.9,2578,3
6073,1,5111,76,0,2014,A,,1,1,89704,0,0,1725,89704,,13.45,0.81,0.92,0,0,1.13,1.13,,0,0,0,0,2578,3,0,0,0,0,49,2.9,2578,3
6073,1,51113,77,0,2014,A,,1,1,89704,0,0,1725,89704,,15.69,1.9,2.33,0,0,1.24,1.24,,0,0,0,0,2578,3,0,0,0,0,49,2.9,2578,3
6073,1,511130,78,0,2014,A,,1,1,89704,0,0,1725,89704,,15.69,1.9,2.33,0,0,1.24,1.24,,0,0,0,0,2578,3,0,0,0,0,49,2.9,2578,3
6073,1,519,75,0,2014,A,,1,1,85417,0,0,1643,85417,,0.83,0.02,0.02,0,0,1.02,1.02,,0,0,0,0,25330,42.2,0,0,0,0,102,6.6,5301,6.6
6073,1,5191,76,0,2014,A,,1,1,85417,0,0,1643,85417,,0.83,0.02,0.02,0,0,1.02,1.02,,0,0,0,0,25330,42.2,0,0,0,0,102,6.6,5301,6.6
6073,1,51912,77,0,2014,A,,1,1,85417,0,0,1643,85417,,0.85,0.02,0.02,0,0,1.02,1.02,,0,0,0,0,25330,42.2,0,0,0,0,102,6.6,5301,6.6
6073,1,519120,78,0,2014,A,,1,1,85417,0,0,1643,85417,,0.85,0.02,0.02,0,0,1.02,1.02,,0,0,0,0,25330,42.2,0,0,0,0,102,6.6,5301,6.6
6073,1,52,74,0,2014,A,,2,4,346470,0,0,1904,98991,,0.24,0.03,0.02,0,0,0.84,0.84,,0,0,1,33.3,-6530,-1.8,0,0,0,0,-359,-15.9,-18676,-15.9
6073,1,522,75,0,2014,A,,1,3,281271,0,0,1803,93757,,0.14,0.05,0.05,0,0,1.02,1.02,,0,0,1,50,66925,31.2,0,0,0,0,-258,-12.5,-13416,-12.5
6073,1,5222,76,0,2014,A,,1,3,281271,0,0,1803,93757,,0.14,0.05,0.05,0,0,1.02,1.02,,0,0,1,50,66925,31.2,0,0,0,0,-258,-12.5,-13416,-12.5
6073,1,52229,77,0,2014,A,,1,3,281271,0,0,1803,93757,,0.14,0.05,0.05,0,0,1.02,1.02,,0,0,1,50,66925,31.2,0,0,0,0,-258,-12.5,-13416,-12.5
6073,1,522298,78,0,2014,A,,1,3,281271,0,0,1803,93757,,0.29,0.11,0.1,0,0,0.9,0.9,,0,0,1,50,66925,31.2,0,0,0,0,-258,-12.5,-13416,-12.5
6073,1,524,75,0,2014,A,,1,1,65199,0,0,2508,130398,,0.71,0.01,0.01,0,0,0.94,0.94,,0,0,0,0,-73455,-53,0,0,0,0,-158,-5.9,-8256,-6
6073,1,5242,76,0,2014,A,,1,1,65199,0,0,2508,130398,,4.09,0.32,0.22,0,0,1.36,1.36,,0,0,0,0,-73455,-53,0,0,0,0,-158,-5.9,-8256,-6
6073,1,52429,77,0,2014,A,,1,1,65199,0,0,2508,130398,,7.85,0.42,0.28,0,0,1.32,1.32,,0,0,0,0,-73455,-53,0,0,0,0,-158,-5.9,-8256,-6
6073,1,524292,78,0,2014,A,,1,1,65199,0,0,2508,130398,,18.83,4.1,3.32,0,0,1.61,1.61,,0,0,0,0,-73455,-53,0,0,0,0,-158,-5.9,-8256,-6
6073,1,54,74,0,2014,A,,10,2222,189883728,0,0,1643,85453,,0.69,3.6,3.3,0,0,0.92,0.92,,0,0,-167,-7,293523,0.2,0,0,0,0,117,7.7,6082,7.7
6073,1,541,75,0,2014,A,,10,2222,189883728,0,0,1643,85453,,0.69,3.6,3.3,0,0,0.92,0.92,,0,0,-167,-7,293523,0.2,0,0,0,0,117,7.7,6082,7.7
6073,1,5413,76,0,2014,A,,8,2012,169419049,0,0,1619,84194,,0.94,4.37,4.07,0,0,0.93,0.93,,0,0,-144,-6.7,2664317,1.6,0,0,0,0,131,8.8,6835,8.8
6073,1,54133,77,0,2014,A,,8,2012,169419049,0,0,1619,84194,,0.94,4.59,4.25,0,0,0.93,0.93,,0,0,-144,-6.7,2664317,1.6,0,0,0,0,131,8.8,6835,8.8
6073,1,541330,78,0,2014,A,,8,2012,169419049,0,0,1619,84194,,0.94,4.59,4.25,0,0,0.93,0.93,,0,0,-144,-6.7,2664317,1.6,0,0,0,0,131,8.8,6835,8.8
6073,1,5416,76,0,2014,A,,2,210,20464679,0,0,1876,97528,,3.92,24.35,22.65,0,0,0.93,0.93,,0,0,-23,-9.9,-2370794,-10.4,0,0,0,0,-8,-0.4,-443,-0.5
6073,1,54162,77,0,2014,A,,2,210,20464679,0,0,1876,97528,,6.97,31.06,27.44,0,0,0.88,0.88,,0,0,-23,-9.9,-2370794,-10.4,0,0,0,0,-8,-0.4,-443,-0.5
6073,1,541620,78,0,2014,A,,2,210,20464679,0,0,1876,97528,,6.97,31.06,27.44,0,0,0.88,0.88,,0,0,-23,-9.9,-2370794,-10.4,0,0,0,0,-8,-0.4,-443,-0.5
6073,1,56,74,0,2014,A,,2,46,1065517,0,0,445,23163,,1.2,2.35,1.39,0,0,0.59,0.59,,0,0,3,7,-257845,-19.5,0,0,0,0,-149,-25.1,-7733,-25
6073,1,561,75,0,2014,A,,2,46,1065517,0,0,445,23163,,1.44,2.61,1.51,0,0,0.58,0.58,,0,0,3,7,-257845,-19.5,0,0,0,0,-149,-25.1,-7733,-25
6073,1,5615,76,0,2014,A,,1,0,0,0,0,0,0,,0.92,0,0,0,0,0,0,,0,0,0,0,-326710,-100,0,0,0,0,0,0,0,0
6073,1,56159,77,0,2014,A,,1,0,0,0,0,0,0,,1.92,0,0,0,0,0,0,,0,0,0,0,-326710,-100,0,0,0,0,0,0,0,0
6073,1,561599,78,0,2014,A,,1,0,0,0,0,0,0,,1.92,0,0,0,0,0,0,,0,0,0,0,-326710,-100,0,0,0,0,0,0,0,0
6073,1,5617,76,0,2014,A,,1,46,1065517,0,0,445,23163,,13.45,42.86,39.62,0,0,0.92,0.92,,0,0,3,7,68865,6.9,0,0,0,0,-2,-0.4,-105,-0.5
6073,1,56172,77,0,2014,A,,1,46,1065517,0,0,445,23163,,13.45,42.86,39.62,0,0,0.92,0.92,,0,0,3,7,68865,6.9,0,0,0,0,-2,-0.4,-105,-0.5
6073,1,561720,78,0,2014,A,,1,46,1065517,0,0,445,23163,,13.45,42.86,39.62,0,0,0.92,0.92,,0,0,3,7,68865,6.9,0,0,0,0,-2,-0.4,-105,-0.5
6073,1,62,74,0,2014,A,,7,6600,538449314,0,0,1569,81589,,0.59,1.84,1.89,0,0,1.03,1.03,,0,0,-174,-2.6,8992828,1.7,0,0,0,0,66,4.4,3423,4.4
6073,1,621,75,0,2014,A,,1,4,309131,0,0,1427,74191,,0.19,0.01,0.01,0,0,0.89,0.89,,0,0,-6,-60,-617423,-66.6,0,0,0,0,-340,-19.2,-17699,-19.3
6073,1,6211,76,0,2014,A,,1,4,309131,0,0,1427,74191,,0.25,0.02,0.02,0,0,0.87,0.87,,0,0,-6,-60,-617423,-66.6,0,0,0,0,-340,-19.2,-17699,-19.3
6073,1,62111,77,0,2014,A,,1,4,309131,0,0,1427,74191,,0.25,0.02,0.02,0,0,0.87,0.87,,0,0,-6,-60,-617423,-66.6,0,0,0,0,-340,-19.2,-17699,-19.3
6073,1,621111,78,0,2014,A,,1,4,309131,0,0,1427,74191,,0.25,0.02,0.02,0,0,0.87,0.87,,0,0,-6,-60,-617423,-66.6,0,0,0,0,-340,-19.2,-17699,-19.3
6073,1,622,75,0,2014,A,,5,6595,538140183,0,0,1569,81594,,1.46,2.12,2.13,0,0,1,1,,0,0,-168,-2.5,9610251,1.8,0,0,0,0,66,4.4,3449,4.4
6073,1,6221,76,0,2014,A,,5,6595,538140183,0,0,1569,81594,,1.49,2.17,2.17,0,0,1,1,,0,0,-168,-2.5,9610251,1.8,0,0,0,0,66,4.4,3449,4.4
6073,1,62211,77,0,2014,A,,5,6595,538140183,0,0,1569,81594,,1.49,2.17,2.17,0,0,1,1,,0,0,-168,-2.5,9610251,1.8,0,0,0,0,66,4.4,3449,4.4
6073,1,622110,78,0,2014,A,,5,6595,538140183,0,0,1569,81594,,1.49,2.17,2.17,0,0,1,1,,0,0,-168,-2.5,9610251,1.8,0,0,0,0,66,4.4,3449,4.4
6073,1,624,75,0,2014,A,,1,0,0,0,0,0,0,,0.32,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6073,1,6244,76,0,2014,A,,1,0,0,0,0,0,0,,0.77,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6073,1,62441,77,0,2014,A,,1,0,0,0,0,0,0,,0.77,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6073,1,624410,78,0,2014,A,,1,0,0,0,0,0,0,,0.77,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6073,1,71,74,0,2014,A,,4,24,1418215,0,0,1140,59298,,0.32,0.06,0.07,0,0,1.13,1.13,,0,0,-1,-4,-413,0,0,0,0,0,60,5.6,3115,5.5
6073,1,712,75,0,2014,A,,3,24,1418215,0,0,1140,59298,,0.49,0.1,0.09,0,0,0.85,0.85,,0,0,-1,-4,-413,0,0,0,0,0,60,5.6,3115,5.5
6073,1,7121,76,0,2014,A,,3,24,1418215,0,0,1140,59298,,0.49,0.1,0.09,0,0,0.85,0.85,,0,0,-1,-4,-413,0,0,0,0,0,60,5.6,3115,5.5
6073,1,71211,77,0,2014,A,,1,1,79229,0,0,1524,79229,,2.69,0.02,0.02,0,0,0.92,0.92,,0,0,0,0,239,0.3,0,0,0,0,5,0.3,239,0.3
6073,1,712110,78,0,2014,A,,1,1,79229,0,0,1524,79229,,2.69,0.02,0.02,0,0,0.92,0.92,,0,0,0,0,239,0.3,0,0,0,0,5,0.3,239,0.3
6073,1,71219,77,0,2014,A,,2,23,1338986,0,0,1124,58428,,0.36,0.14,0.13,0,0,0.92,0.92,,0,0,-1,-4.2,-652,0,0,0,0,0,62,5.8,3185,5.8
6073,1,712190,78,0,2014,A,,2,23,1338986,0,0,1124,58428,,0.36,0.14,0.13,0,0,0.92,0.92,,0,0,-1,-4.2,-652,0,0,0,0,0,62,5.8,3185,5.8
6073,1,713,75,0,2014,A,,1,0,0,0,0,0,0,,0.16,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6073,1,7139,76,0,2014,A,,1,0,0,0,0,0,0,,0.17,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6073,1,71394,77,0,2014,A,,1,0,0,0,0,0,0,,0.54,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6073,1,713940,78,0,2014,A,,1,0,0,0,0,0,0,,0.54,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6073,1,81,74,0,2014,A,,1,21,1093435,0,0,1013,52696,,0.57,0.47,0.42,0,0,0.92,0.92,,0,0,1,5,51870,5,0,0,0,0,-1,-0.1,-41,-0.1
6073,1,812,75,0,2014,A,,1,21,1093435,0,0,1013,52696,,1.02,1.61,1.5,0,0,0.94,0.94,,0,0,1,5,51870,5,0,0,0,0,-1,-0.1,-41,-0.1
6073,1,8122,76,0,2014,A,,1,21,1093435,0,0,1013,52696,,1.18,1.65,1.52,0,0,0.93,0.93,,0,0,1,5,51870,5,0,0,0,0,-1,-0.1,-41,-0.1
6073,1,81222,77,0,2014,A,,1,21,1093435,0,0,1013,52696,,1.18,1.65,1.52,0,0,0.93,0.93,,0,0,1,5,51870,5,0,0,0,0,-1,-0.1,-41,-0.1
6073,1,812220,78,0,2014,A,,1,21,1093435,0,0,1013,52696,,1.18,1.65,1.52,0,0,0.93,0.93,,0,0,1,5,51870,5,0,0,0,0,-1,-0.1,-41,-0.1
6073,1,92,74,0,2014,A,,118,29401,2537482254,0,0,1660,86307,,0.44,2.01,1.86,0,0,0.92,0.92,,-1,-0.8,-449,-1.5,107777703,4.4,0,0,0,0,95,6.1,4911,6
6073,1,921,75,0,2014,A,,10,2520,110331700,0,0,842,43787,,0.46,1.65,0.83,0,0,0.5,0.5,,1,11.1,-63,-2.4,3814660,3.6,0,0,0,0,49,6.2,2547,6.2
6073,1,9211,76,0,2014,A,,10,2520,110331700,0,0,842,43787,,0.46,1.65,0.83,0,0,0.5,0.5,,1,11.1,-63,-2.4,3814660,3.6,0,0,0,0,49,6.2,2547,6.2
6073,1,92113,77,0,2014,A,,3,373,35365506,0,0,1826,94941,,0.5,0.38,0.41,0,0,1.08,1.08,,0,0,-18,-4.6,-116673,-0.3,0,0,0,0,81,4.6,4194,4.6
6073,1,921130,78,0,2014,A,,3,373,35365506,0,0,1826,94941,,0.5,0.38,0.41,0,0,1.08,1.08,,0,0,-18,-4.6,-116673,-0.3,0,0,0,0,81,4.6,4194,4.6
6073,1,92119,77,0,2014,A,,7,2147,74966194,0,0,671,34913,,0.44,5.92,2.33,0,0,0.39,0.39,,1,16.7,-45,-2.1,3931333,5.5,0,0,0,0,48,7.7,2504,7.7
6073,1,921190,78,0,2014,A,,7,2147,74966194,0,0,671,34913,,0.44,5.92,2.33,0,0,0.39,0.39,,1,16.7,-45,-2.1,3931333,5.5,0,0,0,0,48,7.7,2504,7.7
6073,1,922,75,0,2014,A,,33,7035,743857028,0,0,2033,105740,,0.85,2.87,2.85,0,0,0.99,0.99,,0,0,-154,-2.1,15759314,2.2,0,0,0,0,85,4.4,4464,4.4
6073,1,9221,76,0,2014,A,,33,7035,743857028,0,0,2033,105740,,0.85,2.87,2.85,0,0,0.99,0.99,,0,0,-154,-2.1,15759314,2.2,0,0,0,0,85,4.4,4464,4.4
6073,1,92211,77,0,2014,A,,3,473,39232806,0,0,1594,82901,,0.49,1.47,1.21,0,0,0.82,0.82,,0,0,-27,-5.4,-1236022,-3.1,0,0,0,0,37,2.4,1950,2.4
6073,1,922110,78,0,2014,A,,3,473,39232806,0,0,1594,82901,,0.49,1.47,1.21,0,0,0.82,0.82,,0,0,-27,-5.4,-1236022,-3.1,0,0,0,0,37,2.4,1950,2.4
6073,1,92212,77,0,2014,A,,23,5786,624860352,0,0,2077,107998,,1.14,4.29,4.06,0,0,0.95,0.95,,0,0,-95,-1.6,15194951,2.5,0,0,0,0,84,4.2,4338,4.2
6073,1,922120,78,0,2014,A,,23,5786,624860352,0,0,2077,107998,,1.14,4.29,4.06,0,0,0.95,0.95,,0,0,-95,-1.6,15194951,2.5,0,0,0,0,84,4.2,4338,4.2
6073,1,92213,77,0,2014,A,,3,321,37677456,0,0,2257,117345,,0.89,1.64,1.58,0,0,0.96,0.96,,0,0,-13,-3.9,2103638,5.9,0,0,0,0,210,10.3,10916,10.3
6073,1,922130,78,0,2014,A,,3,321,37677456,0,0,2257,117345,,0.89,1.64,1.58,0,0,0.96,0.96,,0,0,-13,-3.9,2103638,5.9,0,0,0,0,210,10.3,10916,10.3
6073,1,92214,77,0,2014,A,,1,225,16726586,0,0,1433,74506,,0.7,0.62,0.59,0,0,0.95,0.95,,0,0,-13,-5.5,-628166,-3.6,0,0,0,0,31,2.2,1587,2.2
6073,1,922140,78,0,2014,A,,1,225,16726586,0,0,1433,74506,,0.7,0.62,0.59,0,0,0.95,0.95,,0,0,-13,-5.5,-628166,-3.6,0,0,0,0,31,2.2,1587,2.2
6073,1,92219,77,0,2014,A,,3,230,25359828,0,0,2120,110220,,0.4,1.11,1.21,0,0,1.09,1.09,,0,0,-6,-2.5,324913,1.3,0,0,0,0,77,3.8,3990,3.8
6073,1,922190,78,0,2014,A,,3,230,25359828,0,0,2120,110220,,0.4,1.11,1.21,0,0,1.09,1.09,,0,0,-6,-2.5,324913,1.3,0,0,0,0,77,3.8,3990,3.8
6073,1,923,75,0,2014,A,,18,1077,83726821,0,0,1494,77711,,0.64,0.63,0.52,0,0,0.83,0.83,,0,0,5,0.5,5607017,7.2,0,0,0,0,93,6.6,4849,6.7
6073,1,9231,76,0,2014,A,,18,1077,83726821,0,0,1494,77711,,0.64,0.63,0.52,0,0,0.83,0.83,,0,0,5,0.5,5607017,7.2,0,0,0,0,93,6.6,4849,6.7
6073,1,92312,77,0,2014,A,,2,28,1530843,0,0,1067,55499,,0.32,0.05,0.03,0,0,0.54,0.54,,0,0,6,27.3,21992,1.5,0,0,0,0,-242,-18.5,-12569,-18.5
