area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
48113,0,10,70,0,2015,A,,73026,1604229,1.02246E+11,15911426203,429262213,1226,63735,,1,1,1,1,1,1,1,,1585,2.2,58787,3.8,6271283046,6.5,783125528,5.2,-9694151,-2.2,32,2.7,1633,2.6
48113,1,10,71,0,2015,A,,176,24867,2053812310,0,0,1588,82592,,0.38,0.78,0.69,0,0,0.88,0.88,,-7,-3.8,-82,-0.3,56779449,2.8,0,0,0,0,49,3.2,2548,3.2
48113,1,101,72,0,2015,A,,1,7,566885,0,0,1539,80031,,1.08,0.01,0.01,0,0,0.86,0.86,,0,0,0,0,-144486,-20.3,0,0,0,0,-439,-22.2,-22818,-22.2
48113,1,1013,73,0,2015,A,,1,7,566885,0,0,1539,80031,,3.03,0.01,0.01,0,0,0.85,0.85,,0,0,0,0,-144486,-20.3,0,0,0,0,-439,-22.2,-22818,-22.2
48113,1,102,72,0,2015,A,,175,24860,2053245425,0,0,1588,82593,,0.38,0.8,0.7,0,0,0.88,0.88,,-7,-3.8,-82,-0.3,56923935,2.9,0,0,0,0,49,3.2,2555,3.2
48113,1,1021,73,0,2015,A,,69,8608,568364110,0,0,1270,66025,,0.3,1.12,0.99,0,0,0.89,0.89,,0,0,-158,-1.8,34386403,6.4,0,0,0,0,99,8.5,5109,8.4
48113,1,1022,73,0,2015,A,,1,33,2371545,0,0,1389,72230,,1.03,0.43,0.35,0,0,0.81,0.81,,0,0,-2,-5.7,-50837,-2.1,0,0,0,0,64,4.8,3347,4.9
48113,1,1023,73,0,2015,A,,4,984,130513982,0,0,2552,132704,,0.65,6.3,6.41,0,0,1.02,1.02,,0,0,-171,-14.8,-14381986,-9.9,0,0,0,0,140,5.8,7280,5.8
48113,1,1024,73,0,2015,A,,3,114,13011608,0,0,2190,113887,,0.26,0.15,0.17,0,0,1.12,1.12,,0,0,-11,-8.8,-1469291,-10.1,0,0,0,0,-45,-2,-2348,-2
48113,1,1025,73,0,2015,A,,1,4270,350437774,0,0,1578,82065,,0.1,0.94,0.87,0,0,0.92,0.92,,0,0,92,2.2,13957593,4.1,0,0,0,0,29,1.9,1519,1.9
48113,1,1027,73,0,2015,A,,1,35,1818300,0,0,987,51340,,0.78,0.67,0.56,0,0,0.83,0.83,,0,0,-1,-2.8,-7639,-0.4,0,0,0,0,16,1.6,853,1.7
48113,1,1028,73,0,2015,A,,96,10815,986728106,0,0,1755,91234,,0.5,0.62,0.55,0,0,0.87,0.87,,-5,-5,167,1.6,24489692,2.5,0,0,0,0,17,1,865,1
48113,1,31-33,74,0,2015,A,,1,7,566885,0,0,1539,80031,,3.03,0.01,0.01,0,0,0.85,0.85,,0,0,0,0,-144486,-20.3,0,0,0,0,-439,-22.2,-22818,-22.2
48113,1,323,75,0,2015,A,,1,7,566885,0,0,1539,80031,,8.69,0.22,0.15,0,0,0.7,0.7,,0,0,0,0,-144486,-20.3,0,0,0,0,-439,-22.2,-22818,-22.2
48113,1,3231,76,0,2015,A,,1,7,566885,0,0,1539,80031,,8.69,0.22,0.15,0,0,0.7,0.7,,0,0,0,0,-144486,-20.3,0,0,0,0,-439,-22.2,-22818,-22.2
48113,1,32311,77,0,2015,A,,1,7,566885,0,0,1539,80031,,8.69,0.22,0.15,0,0,0.7,0.7,,0,0,0,0,-144486,-20.3,0,0,0,0,-439,-22.2,-22818,-22.2
48113,1,323117,78,0,2015,A,,1,7,566885,0,0,1539,80031,,10.87,0.38,0.28,0,0,0.74,0.75,,0,0,0,0,-144486,-20.3,0,0,0,0,-439,-22.2,-22818,-22.2
48113,1,44-45,74,0,2015,A,,8,1901,103757595,0,0,1050,54595,,1.49,3.49,5.14,0,0,1.48,1.47,,0,0,-63,-3.2,649599,0.6,0,0,0,0,40,4,2085,4
48113,1,452,75,0,2015,A,,8,1901,103757595,0,0,1050,54595,,3.51,4.85,7.9,0,0,1.63,1.63,,0,0,-63,-3.2,649599,0.6,0,0,0,0,40,4,2085,4
48113,1,4521,76,0,2015,A,,8,1901,103757595,0,0,1050,54595,,4.76,7.19,11.72,0,0,1.63,1.63,,0,0,-63,-3.2,649599,0.6,0,0,0,0,40,4,2085,4
