area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
1000,5,4853,56,0,2014,A,,34,182,3600051,1583734,26967,380,19771,,0.33,0.17,0.15,0.15,0.11,0.87,0.87,,2,6.2,-2,-1.1,-73300,-2,-105754,-6.3,-10112,-27.3,-4,-1,-193,-1
1001,5,4853,76,0,2014,A,N,2,0,0,0,0,0,0,N,2.76,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,5,4853,76,0,2014,A,N,2,0,0,0,0,0,0,N,0.42,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,5,4853,76,0,2014,A,N,1,0,0,0,0,0,0,N,0.64,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1069,5,4853,76,0,2014,A,N,1,0,0,0,0,0,0,N,0.39,0,0,0,0,0,0,N,-1,-50,0,0,0,0,0,0,0,0,0,0,0,0
1073,5,4853,76,0,2014,A,,7,73,1796378,716402,11097,473,24608,,0.45,0.37,0.34,0.37,0.27,0.92,0.92,,1,16.7,8,12.3,25328,1.4,59687,9.1,-3739,-25.2,-50,-9.6,-2604,-9.6
1077,5,4853,76,0,2014,A,N,1,0,0,0,0,0,0,N,0.56,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081,5,4853,76,0,2014,A,N,1,0,0,0,0,0,0,N,0.4,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1089,5,4853,76,0,2014,A,,6,16,152394,106987,2590,181,9426,,0.75,0.15,0.05,0.11,0.11,0.33,0.33,,1,20,2,14.3,14769,10.7,16826,18.7,174,7.2,-8,-4.2,-404,-4.1
1097,5,4853,76,0,2014,A,N,2,0,0,0,0,0,0,N,0.24,0,0,0,0,0,0,N,1,100,0,0,0,0,0,0,0,0,0,0,0,0
1101,5,4853,76,0,2014,A,N,2,0,0,0,0,0,0,N,0.36,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1113,5,4853,76,0,2014,A,N,1,0,0,0,0,0,0,N,1.31,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
