area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
6073,0,10,70,0,2015,A,,102868,1370672,79593380163,9421273910,458552238,1117,58069,,1,1,1,1,1,1,1,,3446,3.5,37712,2.8,4200047528,5.6,411900767,4.6,7255111,1.6,29,2.7,1508,2.7
6073,1,10,71,0,2015,A,,251,45952,3768612772,0,0,1577,82013,,0.38,1.7,1.63,0,0,0.96,0.96,,-3,-1.2,175,0.4,114566952,3.1,0,0,0,0,42,2.7,2190,2.7
6073,1,102,72,0,2015,A,,251,45952,3768612772,0,0,1577,82013,,0.38,1.73,1.66,0,0,0.96,0.96,,-3,-1.2,175,0.4,114566952,3.1,0,0,0,0,42,2.7,2190,2.7
6073,1,1021,73,0,2015,A,,111,7523,401973976,0,0,1027,53430,,0.34,1.14,0.9,0,0,0.79,0.79,,2,1.8,64,0.9,17842210,4.6,0,0,0,0,37,3.7,1929,3.7
6073,1,1022,73,0,2015,A,,2,2,172451,0,0,1658,86226,,1.46,0.03,0.03,0,0,1.06,1.06,,0,0,0,0,-2670,-1.5,0,0,0,0,-26,-1.5,-1335,-1.5
6073,1,1023,73,0,2015,A,,1,4,389327,0,0,1872,97332,,0.12,0.03,0.02,0,0,0.82,0.82,,-1,-50,0,0,42857,12.4,0,0,0,0,-32,-1.7,-1659,-1.7
6073,1,1024,73,0,2015,A,,13,2247,191487534,0,0,1639,85235,,0.81,3.56,3.27,0,0,0.92,0.92,,1,8.3,-21,-0.9,538289,0.3,0,0,0,0,20,1.2,1045,1.2
6073,1,1025,73,0,2015,A,,6,6725,562317595,0,0,1608,83612,,0.42,1.74,1.79,0,0,1.03,1.03,,-1,-14.3,125,1.9,23868281,4.4,0,0,0,0,39,2.5,2023,2.5
6073,1,1026,73,0,2015,A,,4,24,1557497,0,0,1227,63788,,0.23,0.05,0.06,0,0,1.31,1.31,,0,0,0,0,139282,9.8,0,0,0,0,87,7.6,4490,7.6
6073,1,1027,73,0,2015,A,,1,20,1051252,0,0,1032,53681,,0.55,0.45,0.42,0,0,0.95,0.95,,0,0,-1,-4.8,-42183,-3.9,0,0,0,0,19,1.9,985,1.9
6073,1,1028,73,0,2015,A,,113,29406,2609663140,0,0,1707,88745,,0.42,1.99,1.86,0,0,0.93,0.93,,-5,-4.2,5,0,72180886,2.8,0,0,0,0,47,2.8,2438,2.8
6073,1,44-45,74,0,2015,A,,33,2200,66519563,0,0,582,30243,,4.36,4.72,4.23,0,0,0.9,0.9,,1,3.1,-67,-3,519144,0.8,0,0,0,0,22,3.9,1135,3.9
6073,1,445,75,0,2015,A,,5,490,19455119,0,0,763,39671,,2.31,4.05,3.72,0,0,0.92,0.92,,0,0,-5,-1,394299,2.1,0,0,0,0,23,3.1,1184,3.1
6073,1,4451,76,0,2015,A,,5,490,19455119,0,0,763,39671,,2.34,4.06,3.72,0,0,0.91,0.92,,0,0,-5,-1,394299,2.1,0,0,0,0,23,3.1,1184,3.1
6073,1,44511,77,0,2015,A,,5,490,19455119,0,0,763,39671,,2.72,4.32,3.89,0,0,0.9,0.9,,0,0,-5,-1,394299,2.1,0,0,0,0,23,3.1,1184,3.1
6073,1,445110,78,0,2015,A,,5,490,19455119,0,0,763,39671,,2.72,4.32,3.89,0,0,0.9,0.9,,0,0,-5,-1,394299,2.1,0,0,0,0,23,3.1,1184,3.1
6073,1,452,75,0,2015,A,,27,1709,47064444,0,0,530,27538,,8.42,5.1,4.6,0,0,0.9,0.9,,1,3.8,-63,-3.6,124845,0.3,0,0,0,0,21,4.1,1051,4
6073,1,4521,76,0,2015,A,,25,1368,36520809,0,0,513,26695,,10.57,6.05,5.3,0,0,0.88,0.88,,1,4.2,-32,-2.3,317236,0.9,0,0,0,0,16,3.2,828,3.2
6073,1,45211,77,0,2015,A,,25,1368,36520809,0,0,513,26695,,10.57,6.05,5.3,0,0,0.88,0.88,,1,4.2,-32,-2.3,317236,0.9,0,0,0,0,16,3.2,828,3.2
6073,1,452111,78,0,2015,A,,24,1366,36480705,0,0,513,26701,,20.57,7.32,6.28,0,0,0.86,0.86,,1,4.3,-32,-2.3,317776,0.9,0,0,0,0,15,3,824,3.2
6073,1,452112,78,0,2015,A,,1,2,40104,0,0,421,21875,,0.84,0.05,0.04,0,0,0.8,0.8,,0,0,0,0,-540,-1.3,0,0,0,0,46,12.3,2366,12.1
6073,1,4529,76,0,2015,A,,2,341,10543635,0,0,595,30920,,2.34,3.13,3.16,0,0,1.01,1.01,,0,0,-32,-8.6,-192391,-1.8,0,0,0,0,41,7.4,2105,7.3
