area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
48113,0,10,70,0,2017,A,,76830,1685333,1.12179E+11,16828714089,452059417,1280,66562,,1,1,1,1,1,1,1,,1760,2.3,33999,2.1,5072613341,4.7,508344282,3.1,50202055,12.5,33,2.6,1702,2.6
48113,1,10,71,0,2017,A,,173,24992,2127842994,0,0,1637,85140,,0.37,0.76,0.67,0,0,0.88,0.88,,0,0,-108,-0.4,56428642,2.7,0,0,0,0,50,3.2,2615,3.2
48113,1,101,72,0,2017,A,,1,7,685617,0,0,1884,97945,,1.08,0.01,0.01,0,0,0.99,0.99,,0,0,1,16.7,86117,14.4,0,0,0,0,87,4.8,4516,4.8
48113,1,1013,73,0,2017,A,,1,7,685617,0,0,1884,97945,,2.78,0.01,0.01,0,0,0.98,0.98,,0,0,1,16.7,86117,14.4,0,0,0,0,87,4.8,4516,4.8
48113,1,102,72,0,2017,A,,172,24985,2127157377,0,0,1637,85136,,0.37,0.77,0.68,0,0,0.88,0.88,,0,0,-109,-0.4,56342525,2.7,0,0,0,0,50,3.2,2613,3.2
48113,1,1021,73,0,2017,A,,69,8553,564999333,0,0,1270,66062,,0.29,1.07,0.98,0,0,0.92,0.92,,0,0,-59,-0.7,13103627,2.4,0,0,0,0,38,3.1,1978,3.1
48113,1,1022,73,0,2017,A,,1,33,2331510,0,0,1369,71191,,1.03,0.43,0.32,0,0,0.76,0.76,,0,0,1,3.1,94895,4.2,0,0,0,0,21,1.6,1114,1.6
48113,1,1023,73,0,2017,A,,4,669,100617281,0,0,2892,150400,,0.64,4.42,4.88,0,0,1.1,1.1,,0,0,-125,-15.7,-11843261,-10.5,0,0,0,0,166,6.1,8673,6.1
48113,1,1024,73,0,2017,A,,3,111,13302862,0,0,2313,120297,,0.26,0.15,0.16,0,0,1.13,1.13,,0,0,-1,-0.9,405397,3.1,0,0,0,0,98,4.4,5141,4.5
48113,1,1025,73,0,2017,A,,1,4647,402985563,0,0,1668,86718,,0.09,0.97,0.89,0,0,0.92,0.92,,0,0,127,2.8,28737514,7.7,0,0,0,0,76,4.8,3927,4.7
48113,1,1027,73,0,2017,A,,1,38,2029950,0,0,1018,52955,,0.75,0.71,0.59,0,0,0.82,0.82,,0,0,-2,-5,87136,4.5,0,0,0,0,80,8.5,4181,8.6
48113,1,1028,73,0,2017,A,,93,10935,1040890878,0,0,1831,95188,,0.49,0.61,0.54,0,0,0.87,0.87,,0,0,-49,-0.4,25757217,2.5,0,0,0,0,54,3,2771,3
48113,1,31-33,74,0,2017,A,,1,7,685617,0,0,1884,97945,,2.78,0.01,0.01,0,0,0.98,0.98,,0,0,1,16.7,86117,14.4,0,0,0,0,87,4.8,4516,4.8
48113,1,323,75,0,2017,A,,1,7,685617,0,0,1884,97945,,7.53,0.21,0.16,0,0,0.79,0.79,,0,0,1,16.7,86117,14.4,0,0,0,0,87,4.8,4516,4.8
48113,1,3231,76,0,2017,A,,1,7,685617,0,0,1884,97945,,7.53,0.21,0.16,0,0,0.79,0.79,,0,0,1,16.7,86117,14.4,0,0,0,0,87,4.8,4516,4.8
48113,1,32311,77,0,2017,A,,1,7,685617,0,0,1884,97945,,7.53,0.21,0.16,0,0,0.79,0.79,,0,0,1,16.7,86117,14.4,0,0,0,0,87,4.8,4516,4.8
48113,1,323117,78,0,2017,A,,1,7,685617,0,0,1884,97945,,9.14,0.36,0.29,0,0,0.82,0.82,,0,0,1,16.7,86117,14.4,0,0,0,0,87,4.8,4516,4.8
48113,1,44-45,74,0,2017,A,,7,1866,132002040,0,0,1360,70731,,1.34,3.57,6.28,0,0,1.76,1.76,,0,0,-35,-1.8,14622973,12.5,0,0,0,0,173,14.6,8982,14.5
48113,1,452,75,0,2017,A,,7,1866,132002040,0,0,1360,70731,,3.11,5.03,9.72,0,0,1.93,1.93,,0,0,-35,-1.8,14622973,12.5,0,0,0,0,173,14.6,8982,14.5
48113,1,4522,76,0,2017,A,,7,1866,132002040,0,0,1360,70731,,4.29,7.28,14.19,0,0,1.95,1.95,N,7,100,0,0,0,0,0,0,0,0,0,0,0,0
48113,1,45221,77,0,2017,A,,7,1866,132002040,0,0,1360,70731,,4.29,7.28,14.19,0,0,1.95,1.95,N,7,100,0,0,0,0,0,0,0,0,0,0,0,0
48113,1,452210,78,0,2017,A,,7,1866,132002040,0,0,1360,70731,,4.29,7.28,14.19,0,0,1.95,1.95,N,7,100,0,0,0,0,0,0,0,0,0,0,0,0
48113,1,48-49,74,0,2017,A,,62,6686,432997293,0,0,1245,64759,,0.27,0.91,0.81,0,0,0.89,0.89,,0,0,-25,-0.4,-1519346,-0.3,0,0,0,0,0,0,13,0
48113,1,488,75,0,2017,A,,2,36,4501951,0,0,2433,126519,,1.53,0.27,0.21,0,0,0.78,0.78,,0,0,0,0,-35224,-0.8,0,0,0,0,9,0.4,486,0.4
48113,1,4881,76,0,2017,A,,2,36,4501951,0,0,2433,126519,,1.53,0.27,0.21,0,0,0.78,0.78,,0,0,0,0,-35224,-0.8,0,0,0,0,9,0.4,486,0.4
48113,1,48811,77,0,2017,A,,2,36,4501951,0,0,2433,126519,,1.53,0.27,0.21,0,0,0.78,0.78,,0,0,0,0,-35224,-0.8,0,0,0,0,9,0.4,486,0.4
48113,1,488111,78,0,2017,A,,2,36,4501951,0,0,2433,126519,,1.54,0.27,0.21,0,0,0.78,0.78,,0,0,0,0,-35224,-0.8,0,0,0,0,9,0.4,486,0.4
48113,1,491,75,0,2017,A,,60,6651,428495342,0,0,1239,64428,,0.26,0.92,0.84,0,0,0.91,0.91,,0,0,-24,-0.4,-1484122,-0.3,0,0,0,0,0,0,12,0
48113,1,4911,76,0,2017,A,,60,6651,428495342,0,0,1239,64428,,0.26,0.92,0.84,0,0,0.91,0.91,,0,0,-24,-0.4,-1484122,-0.3,0,0,0,0,0,0,12,0
48113,1,49111,77,0,2017,A,,60,6651,428495342,0,0,1239,64428,,0.26,0.92,0.84,0,0,0.91,0.91,,0,0,-24,-0.4,-1484122,-0.3,0,0,0,0,0,0,12,0
48113,1,491110,78,0,2017,A,,60,6651,428495342,0,0,1239,64428,,0.26,0.92,0.84,0,0,0.91,0.91,,0,0,-24,-0.4,-1484122,-0.3,0,0,0,0,0,0,12,0
48113,1,51,74,0,2017,A,,1,33,2331510,0,0,1369,71191,,1.03,0.43,0.32,0,0,0.76,0.76,,0,0,1,3.1,94895,4.2,0,0,0,0,21,1.6,1114,1.6
48113,1,519,75,0,2017,A,,1,33,2331510,0,0,1369,71191,,1.19,0.55,0.39,0,0,0.72,0.72,,0,0,1,3.1,94895,4.2,0,0,0,0,21,1.6,1114,1.6
48113,1,5191,76,0,2017,A,,1,33,2331510,0,0,1369,71191,,1.19,0.55,0.39,0,0,0.72,0.72,,0,0,1,3.1,94895,4.2,0,0,0,0,21,1.6,1114,1.6
48113,1,51912,77,0,2017,A,,1,33,2331510,0,0,1369,71191,,1.21,0.55,0.39,0,0,0.73,0.73,,0,0,1,3.1,94895,4.2,0,0,0,0,21,1.6,1114,1.6
48113,1,519120,78,0,2017,A,,1,33,2331510,0,0,1369,71191,,1.21,0.55,0.39,0,0,0.73,0.73,,0,0,1,3.1,94895,4.2,0,0,0,0,21,1.6,1114,1.6
