"HOUSEHOLD DATA
ANNUAL AVERAGES
18b. Employed persons by detailed industry and age",,,,,,,,,
[Numbers in thousands],,,,,,,,,
,,,,,,,,,
Industry,2018,,,,,,,,
,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
,,,,,,,,,
Total employed,"155,761","5,126","14,051","35,324","32,616","32,373","26,565","9,705",42.2
,,,,,,,,,
"Agriculture, forestry, fishing, and hunting","2,425",103,180,390,400,426,533,393,48.1
Crop production,"1,230",49,83,193,207,211,286,200,48.4
Animal production and aquaculture,810,43,59,120,122,133,173,160,49.4
"Forestry, except logging",43,0,5,5,11,9,7,4,–
Logging,112,3,8,19,18,23,31,10,48.5
"Fishing, hunting, and trapping",54,3,6,13,7,12,8,4,39.6
Support activities for agriculture and forestry,176,5,19,40,34,37,28,14,43.1
,,,,,,,,,
"Mining, quarrying, and oil and gas extraction",784,7,51,223,186,144,139,34,41.9
Oil and gas extraction,78,1,8,20,16,18,13,2,41.3
Coal mining,64,1,3,15,16,15,10,3,43.1
Metal ore mining,30,0,2,8,8,6,3,2,–
Nonmetallic mineral mining and quarrying,101,1,8,24,18,18,28,4,46.4
Not specified type of mining,6,0,1,2,1,1,1,0,–
Support activities for mining,504,4,29,153,127,85,83,23,41.3
,,,,,,,,,
Construction,"11,181",190,816,"2,520","2,830","2,396","1,872",558,42.5
,,,,,,,,,
Manufacturing,"15,560",233,"1,149","3,294","3,315","3,718","3,174",677,44.1
Durable goods manufacturing,"9,831",139,690,"2,070","2,062","2,339","2,073",458,44.5
Nonmetallic mineral products manufacturing,475,4,44,93,117,111,88,18,43.1
"Pottery, ceramics, and plumbing fixture manufacturing",22,0,0,4,4,5,6,3,–
Clay building material and refractories manufacturing,26,0,0,5,7,7,6,1,–
Glass and glass product manufacturing,148,1,16,25,34,36,30,6,43.9
"Cement, concrete, lime, and gypsum product manufacturing",181,2,17,32,39,46,38,6,44.0
Miscellaneous nonmetallic mineral product manufacturing,99,1,10,28,33,18,8,2,39.7
Primary metals and fabricated metal products manufacturing,"1,680",25,120,348,328,412,363,85,44.9
Iron and steel mills and steel product manufacturing,268,2,16,55,46,66,74,9,47.2
Aluminum production and processing,59,0,3,9,15,14,14,4,45.4
"Nonferrous metal, except aluminum, production and processing",48,0,2,10,9,14,12,2,–
Foundries,81,0,4,18,20,17,17,4,44.5
Metal forgings and stampings,60,1,5,14,10,18,11,2,43.3
Cutlery and hand tool manufacturing,41,1,8,8,3,7,11,3,–
"Structural metals, and boiler, tank, and shipping container manufacturing",358,8,26,79,71,87,73,16,44.0
"Machine shops; turned product; screw, nut, and bolt manufacturing",295,7,23,53,56,72,64,20,45.9
"Coating, engraving, heat treating and allied activities",67,1,7,11,10,22,11,5,44.6
Ordnance,45,0,3,13,8,10,8,3,–
Miscellaneous fabricated metal products manufacturing,327,5,20,67,74,79,66,16,44.4
Not specified metal industries,30,0,2,11,6,8,2,0,–
Machinery manufacturing,"1,218",14,74,261,251,311,257,49,45.2
Agricultural implement manufacturing,114,1,9,28,25,26,21,4,43.1
"Construction, and mining and oil and gas field machinery manufacturing",148,2,12,45,28,33,24,4,41.6
Commercial and service industry machinery manufacturing,71,0,2,7,22,24,11,5,48.7
Metalworking machinery manufacturing,128,0,7,31,22,27,35,7,47.5
"Engine, turbine, and power transmission equipment manufacturing",49,0,3,10,10,15,8,4,–
"Machinery manufacturing, n.e.c.",690,10,41,136,141,181,154,27,45.4
Not specified machinery manufacturing,17,0,1,3,4,5,4,0,–
Computers and electronic products manufacturing,"1,096",9,47,219,252,270,242,55,45.4
Computer and peripheral equipment manufacturing,173,2,10,34,46,42,32,7,44.1
"Communications, and audio and video equipment manufacturing",112,1,9,20,23,26,26,6,46.2
"Navigational, measuring, electromedical, and control instruments manufacturing",206,2,6,47,51,41,48,11,44.5
"Electronic component and product manufacturing, n.e.c.",605,4,22,118,133,162,136,31,46.0
Electrical equipment and appliances manufacturing,402,4,20,87,74,108,87,22,46.4
Household appliance manufacturing,74,2,0,20,14,22,15,1,45.4
"Electrical lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.",328,3,19,67,59,86,73,21,46.7
Transportation equipment manufacturing,"2,528",35,196,566,521,586,527,98,43.9
Motor vehicles and motor vehicle equipment manufacturing,"1,432",21,143,320,301,350,248,48,42.5
Aircraft and parts manufacturing,805,6,36,178,156,164,226,40,47.0
Aerospace product and parts manufacturing,51,0,2,10,11,19,8,1,46.3
Railroad rolling stock manufacturing,28,0,0,8,3,9,6,2,–
Ship and boat building,171,8,11,40,41,35,29,6,41.7
Other transportation equipment manufacturing,42,0,5,10,8,9,9,1,–
Wood products manufacturing,449,19,42,90,94,95,86,23,42.6
Sawmills and wood preservation,147,8,16,29,31,28,29,7,41.4
"Veneer, plywood, and engineered wood products",34,1,3,7,5,7,11,1,–
Prefabricated wood buildings and mobile homes,38,1,4,6,9,7,8,2,–
Miscellaneous wood products,229,9,19,49,49,53,38,14,42.6
Furniture and related product manufacturing,421,7,35,85,80,101,98,16,44.6
Miscellaneous manufacturing,"1,563",21,112,321,347,344,325,92,44.6
Medical equipment and supplies manufacturing,627,9,43,133,153,131,133,25,44.2
"Sporting and athletic goods, and doll, toy and game manufacturing",120,3,10,27,25,23,27,6,43.7
"Miscellaneous manufacturing, n.e.c.",533,5,32,109,113,130,109,34,44.8
Not specified manufacturing industries,283,4,27,53,56,60,57,26,45.4
Nondurable goods manufacturing,"5,729",94,459,"1,224","1,253","1,379","1,100",219,43.5
Food manufacturing,"1,825",44,184,410,376,428,317,67,42.1
"Animal food, grain, and oilseed milling",156,1,12,34,27,50,28,5,44.2
Sugar and confectionery products,88,1,6,16,19,19,24,2,47.4
Fruit and vegetable preserving and specialty food manufacturing,163,3,18,31,31,45,27,8,42.7
Dairy product manufacturing,176,4,10,42,40,39,29,11,42.5
Animal slaughtering and processing,512,11,60,118,110,118,85,10,41.2
Retail bakeries,248,18,36,59,39,39,41,16,38.7
"Bakeries and tortilla manufacturing, except retail bakeries",202,4,17,47,48,46,34,6,42.1
"Seafood and other miscellaneous foods, n.e.c.",206,2,15,47,44,56,36,6,43.3
Not specified food industries,73,1,8,16,18,15,13,3,41.8
Beverage and tobacco products manufacturing,318,9,29,96,74,65,41,5,38.4
Beverage manufacturing,301,9,28,93,68,61,37,5,38.2
